,precision,recall,f1-score,support
air hockey,0.6,0.6,0.6,5.0
ampute football,0.0,0.0,0.0,5.0
archery,0.3333333333333333,0.2,0.25,5.0
arm wrestling,0.5,0.4,0.4444444444444444,5.0
axe throwing,0.42857142857142855,0.6,0.5,5.0
balance beam,0.35714285714285715,1.0,0.5263157894736842,5.0
barell racing,0.25,0.2,0.2222222222222222,5.0
baseball,0.6666666666666666,0.8,0.7272727272727273,5.0
basketball,0.4,0.4,0.4,5.0
baton twirling,0.5,0.2,0.2857142857142857,5.0
bike polo,0.375,0.6,0.46153846153846156,5.0
billiards,0.5555555555555556,1.0,0.7142857142857143,5.0
bmx,0.0,0.0,0.0,5.0
bobsled,1.0,0.2,0.3333333333333333,5.0
bowling,0.6666666666666666,0.4,0.5,5.0
boxing,0.7142857142857143,1.0,0.8333333333333334,5.0
bull riding,0.5,1.0,0.6666666666666666,5.0
bungee jumping,0.3,0.6,0.4,5.0
canoe slamon,0.5,0.6,0.5454545454545454,5.0
cheerleading,0.0,0.0,0.0,5.0
chuckwagon racing,0.5,1.0,0.6666666666666666,5.0
cricket,1.0,0.4,0.5714285714285714,5.0
croquet,0.5714285714285714,0.8,0.6666666666666666,5.0
curling,1.0,1.0,1.0,5.0
disc golf,0.8,0.8,0.8,5.0
fencing,1.0,0.4,0.5714285714285714,5.0
field hockey,0.75,0.6,0.6666666666666666,5.0
figure skating men,0.8,0.8,0.8,5.0
figure skating pairs,0.8,0.8,0.8,5.0
figure skating women,1.0,0.8,0.8888888888888888,5.0
fly fishing,0.6,0.6,0.6,5.0
football,0.5,0.4,0.4444444444444444,5.0
formula 1 racing,0.3333333333333333,1.0,0.5,5.0
frisbee,0.0,0.0,0.0,5.0
gaga,1.0,0.2,0.3333333333333333,5.0
giant slalom,1.0,0.6,0.75,5.0
golf,0.5,0.2,0.2857142857142857,5.0
hammer throw,0.8333333333333334,1.0,0.9090909090909091,5.0
hang gliding,0.8,0.8,0.8,5.0
harness racing,1.0,0.6,0.75,5.0
high jump,0.7142857142857143,1.0,0.8333333333333334,5.0
hockey,1.0,0.6,0.75,5.0
horse jumping,1.0,0.4,0.5714285714285714,5.0
horse racing,1.0,0.6,0.75,5.0
horseshoe pitching,0.0,0.0,0.0,5.0
hurdles,0.8333333333333334,1.0,0.9090909090909091,5.0
hydroplane racing,0.5,0.6,0.5454545454545454,5.0
ice climbing,1.0,0.2,0.3333333333333333,5.0
ice yachting,0.75,0.6,0.6666666666666666,5.0
jai alai,0.625,1.0,0.7692307692307693,5.0
javelin,0.75,0.6,0.6666666666666666,5.0
jousting,0.5,0.2,0.2857142857142857,5.0
judo,1.0,0.6,0.75,5.0
lacrosse,0.4444444444444444,0.8,0.5714285714285714,5.0
log rolling,0.4,0.4,0.4,5.0
luge,0.5,0.4,0.4444444444444444,5.0
motorcycle racing,1.0,0.6,0.75,5.0
mushing,0.0,0.0,0.0,5.0
nascar racing,0.3,0.6,0.4,5.0
olympic wrestling,1.0,0.4,0.5714285714285714,5.0
parallel bar,1.0,0.4,0.5714285714285714,5.0
pole climbing,0.8,0.8,0.8,5.0
pole dancing,0.8,0.8,0.8,5.0
pole vault,0.36363636363636365,0.8,0.5,5.0
polo,0.625,1.0,0.7692307692307693,5.0
pommel horse,0.6666666666666666,0.4,0.5,5.0
rings,0.8,0.8,0.8,5.0
rock climbing,0.7142857142857143,1.0,0.8333333333333334,5.0
roller derby,1.0,0.2,0.3333333333333333,5.0
rollerblade racing,0.25,0.2,0.2222222222222222,5.0
rowing,0.5,0.8,0.6153846153846154,5.0
rugby,0.5714285714285714,0.8,0.6666666666666666,5.0
sailboat racing,0.45454545454545453,1.0,0.625,5.0
shot put,0.5,0.4,0.4444444444444444,5.0
shuffleboard,0.5,0.4,0.4444444444444444,5.0
sidecar racing,0.0,0.0,0.0,5.0
ski jumping,0.0,0.0,0.0,5.0
sky surfing,1.0,0.2,0.3333333333333333,5.0
skydiving,0.8,0.8,0.8,5.0
snow boarding,0.0,0.0,0.0,5.0
snowmobile racing,0.5,0.2,0.2857142857142857,5.0
speed skating,1.0,0.6,0.75,5.0
steer wrestling,0.375,0.6,0.46153846153846156,5.0
sumo wrestling,0.3,0.6,0.4,5.0
surfing,0.3333333333333333,0.8,0.47058823529411764,5.0
swimming,1.0,0.6,0.75,5.0
table tennis,0.5714285714285714,0.8,0.6666666666666666,5.0
tennis,0.5,0.6,0.5454545454545454,5.0
track bicycle,0.8333333333333334,1.0,0.9090909090909091,5.0
trapeze,1.0,0.2,0.3333333333333333,5.0
tug of war,0.3333333333333333,1.0,0.5,5.0
ultimate,1.0,0.4,0.5714285714285714,5.0
uneven bars,0.7142857142857143,1.0,0.8333333333333334,5.0
volleyball,1.0,0.2,0.3333333333333333,5.0
water cycling,0.75,0.6,0.6666666666666666,5.0
water polo,0.7142857142857143,1.0,0.8333333333333334,5.0
weightlifting,0.7142857142857143,1.0,0.8333333333333334,5.0
wheelchair basketball,0.4444444444444444,0.8,0.5714285714285714,5.0
wheelchair racing,0.6,0.6,0.6,5.0
wingsuit flying,0.3333333333333333,0.6,0.42857142857142855,5.0
accuracy,0.572,0.572,0.572,0.572
macro avg,0.6111500721500722,0.5720000000000001,0.5398576793863171,500.0
weighted avg,0.6111500721500722,0.572,0.5398576793863171,500.0
